month,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
202505,sh000300,3245,3.7793908207872633,0.12824295825175563,3.651147862535508,3.3511478625355076,66.04006163328198,8.000876608107925e-71
202505,sh000905,3245,3.7793908207872633,0.5102594575741114,3.2691313632131527,2.969131363213152,62.98921417565485,1.441843921658552e-57
202505,sz399006,3245,3.7793908207872633,0.6299345524971101,3.1494562682901535,2.849456268290153,62.126348228043135,3.350076240450719e-52
202506,sh000300,1164,8.624166471753725,5.064450464126123,3.559716007627602,3.2597160076276026,62.97250859106529,2.880113959137169e-26
202506,sh000905,1164,8.624166471753725,7.153602832877806,1.47056363887592,1.1705636388759202,41.838487972508595,7.951546594639075e-06
202506,sz399006,1164,8.624166471753725,10.239945424035051,-1.6157789522813266,-1.9157789522813273,23.53951890034364,1.0010936924083195e-06
202507,sh000300,905,7.506783524674758,5.288064023918288,2.2187195007564697,1.9187195007564701,50.7182320441989,1.2291965346192533e-09
202507,sh000905,905,7.506783524674758,8.643764079293154,-1.136980554618395,-1.4369805546183956,31.16022099447514,0.0015540965217921653
202507,sz399006,905,7.506783524674758,14.360577220520367,-6.853793695845609,-7.153793695845609,16.132596685082873,8.995668179953673e-68
202508,sh000300,993,-0.3229109080942102,3.5233042918192403,-3.8462151999134506,-4.14621519991345,22.356495468277945,2.520755009432562e-26
202508,sh000905,993,-0.3229109080942102,5.647939070930078,-5.970849979024289,-6.270849979024288,17.421953675730112,1.0673287401519936e-56
202508,sz399006,993,-0.3229109080942102,15.488191251611784,-15.811102159705992,-16.111102159705993,6.143001007049345,1.1221392401961068e-236
202509,sh000300,2649,2.1321823715110417,2.356737317241078,-0.2245549457300365,-0.5245549457300364,36.919592298980746,0.21912657711695224
202509,sh000905,2649,2.1321823715110417,0.8224089440506518,1.3097734274603896,1.0097734274603898,47.26311815779539,1.0936540297601253e-12
202509,sz399006,2649,2.1321823715110417,0.7814583769449406,1.350723994566101,1.0507239945661009,47.52736881842205,3.997776175271224e-13
202510,sh000300,231,6.874162878493058,1.6391915705308129,5.234971307962244,4.934971307962245,74.02597402597402,2.888741843836371e-10
202510,sh000905,231,6.874162878493058,-0.7750375762282157,7.6492004547212735,7.349200454721273,85.28138528138528,9.398016312015736e-19
202510,sz399006,231,6.874162878493058,3.1192869157639262,3.7548759627291304,3.4548759627291297,65.36796536796537,3.5355627278076655e-06
202512,sh000300,5844,8.847575946819404,1.011251793552712,7.836324153266693,7.536324153266692,81.09171800136893,0.0
202512,sh000905,5844,8.847575946819404,12.58715767134444,-3.739581724525035,-4.039581724525035,25.735797399041754,2.819885070543161e-91
202512,sz399006,5844,8.847575946819404,2.4628444111400585,6.384731535679346,6.084731535679347,74.24709103353867,1.689253829939489e-257
202601,sh000300,2578,4.3866391206221005,-1.8610333362066471,6.247672456828749,5.947672456828748,75.48487199379363,3.302509460728959e-158
202601,sh000905,2578,4.3866391206221005,4.272296328401579,0.11434279222052088,-0.18565720777947897,42.203258339798296,0.6064677727497212
202601,sz399006,2578,4.3866391206221005,-0.6208063443083189,5.007445464930419,4.707445464930419,67.26144297905353,1.582980483362592e-105
