combo,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
V6.5 baseline (pyr_v10_60<p35),sh000300,17609,5.623585311937653,1.2680543920800647,4.355530919857588,4.055530919857589,64.68851155659038,0.0
V6.5 baseline (pyr_v10_60<p35),sh000905,17609,5.623585311937653,6.246036265837313,-0.6224509538996609,-0.922450953899661,39.905730024419334,2.234610472374414e-11
V6.5 baseline (pyr_v10_60<p35),sz399006,17609,5.623585311937653,3.2893743480604027,2.3342109638772506,2.0342109638772503,56.67556363223352,7.26584424320634e-122
V7a (pyr_v20_60<p35),sh000300,19716,5.654801725362456,1.024935361967386,4.62986636339507,4.3298663633950705,66.87461959829581,0.0
V7a (pyr_v20_60<p35),sh000905,19716,5.654801725362456,6.661735385745454,-1.0069336603829973,-1.3069336603829975,38.897342260093325,4.602526343239974e-31
V7a (pyr_v20_60<p35),sz399006,19716,5.654801725362456,3.3279238529990773,2.3268778723633794,2.026877872363379,57.64353824305133,1.3068095605887968e-135
V7b (pyr_v20_60<p35 + f1_neg1 静默),sh000300,13757,5.928581404186648,1.049315000898906,4.879266403287742,4.579266403287742,69.04121538126044,0.0
V7b (pyr_v20_60<p35 + f1_neg1 静默),sh000905,13757,5.928581404186648,6.542807654835246,-0.6142262506485997,-0.9142262506485997,40.83739187322817,4.299293807738093e-09
V7b (pyr_v20_60<p35 + f1_neg1 静默),sz399006,13757,5.928581404186648,3.31775778987905,2.610823614307597,2.3108236143075973,59.7804753943447,3.6159227968630344e-117
V7c (pyr_v20_60<p35 + f1_neg1 + f2_pos1 双静默),sh000300,9218,6.313221582148923,1.1884813242870795,5.124740257861843,4.824740257861843,71.17596007810805,0.0
V7c (pyr_v20_60<p35 + f1_neg1 + f2_pos1 双静默),sh000905,9218,6.313221582148923,6.88414032667841,-0.5709187445294885,-0.8709187445294888,41.288782816229116,6.3410254581877344e-06
V7c (pyr_v20_60<p35 + f1_neg1 + f2_pos1 双静默),sz399006,9218,6.313221582148923,3.48930504599438,2.8239165361545426,2.523916536154543,61.80299414189629,6.582868866395067e-94
V7d 激进 (pyr_v20_60<p20),sh000300,9926,5.825719414447183,0.9166123074988005,4.909107106948382,4.609107106948382,67.84203102961918,4.73486501874406e-310
V7d 激进 (pyr_v20_60<p20),sh000905,9926,5.825719414447183,6.510795528037639,-0.6850761135904568,-0.9850761135904571,40.05641748942172,6.886811854061222e-08
V7d 激进 (pyr_v20_60<p20),sz399006,9926,5.825719414447183,3.017884673960234,2.8078347404869484,2.5078347404869485,58.85553092887367,3.4685007966476395e-96
V7e 激进 + 双静默 (pyr_v20_60<p20 + f1_neg1+f2_pos1),sh000300,4437,6.363806549906428,1.1659246113387427,5.197881938567685,4.897881938567685,70.81361280144242,6.595371866212489e-156
V7e 激进 + 双静默 (pyr_v20_60<p20 + f1_neg1+f2_pos1),sh000905,4437,6.363806549906428,6.628942475127002,-0.26513592522057444,-0.5651359252205747,42.84426414243859,0.15984358217012984
V7e 激进 + 双静默 (pyr_v20_60<p20 + f1_neg1+f2_pos1),sz399006,4437,6.363806549906428,3.365872433218683,2.9979341166877442,2.6979341166877444,61.30268199233716,2.6753577879929586e-49
