variant,thresh_pct,thresh,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
pyr_velocity_5_60,35,-0.04800331722856336,sh000300,15309,5.4933624248743,1.3527336121685336,4.140628812705766,3.8406288127057664,63.37448559670782,0.0
pyr_velocity_5_60,35,-0.04800331722856336,sh000905,15309,5.4933624248743,6.023552442862673,-0.5301900179883736,-0.8301900179883739,40.1397870533673,1.1083727481670045e-07
pyr_velocity_5_60,35,-0.04800331722856336,sz399006,15309,5.4933624248743,3.368103552107259,2.125258872767041,1.8252588727670414,55.41184923900973,1.6479748044252086e-88
pyr_velocity_10_30,35,-0.01991929593711051,sh000300,16748,5.025881024413752,1.7773881575299102,3.2484928668838418,2.9484928668838424,58.174110341533314,3.6913956291262575e-243
pyr_velocity_10_30,35,-0.01991929593711051,sh000905,16748,5.025881024413752,5.607714528464529,-0.5818335040507765,-0.8818335040507767,39.75997133986148,1.1725884059251351e-09
pyr_velocity_10_30,35,-0.01991929593711051,sz399006,16748,5.025881024413752,4.07070688614494,0.9551741382688126,0.6551741382688124,51.03295915930261,6.057719660499402e-20
pyr_velocity_20_60,35,-0.02722894670783451,sh000300,19716,5.654801725362456,1.024935361967386,4.62986636339507,4.3298663633950705,66.87461959829581,0.0
pyr_velocity_20_60,35,-0.02722894670783451,sh000905,19716,5.654801725362456,6.661735385745454,-1.0069336603829973,-1.3069336603829975,38.897342260093325,4.602526343239974e-31
pyr_velocity_20_60,35,-0.02722894670783451,sz399006,19716,5.654801725362456,3.3279238529990773,2.3268778723633794,2.026877872363379,57.64353824305133,1.3068095605887968e-135
pyr_velocity_5_30,35,-0.031191536837773603,sh000300,14399,4.8123280514103755,1.799762619876238,3.012565431534137,2.712565431534137,56.9483991943885,1.2624912232727163e-185
pyr_velocity_5_30,35,-0.031191536837773603,sh000905,14399,4.8123280514103755,5.440220058743165,-0.6278920073327904,-0.9278920073327906,39.356899784707274,8.164968567971974e-10
pyr_velocity_5_30,35,-0.031191536837773603,sz399006,14399,4.8123280514103755,4.066524262187604,0.7458037892227718,0.44580378922277175,49.92707826932426,2.2381730222471962e-11
pyr_velocity_10_60,35,-0.03887041621532965,sh000300,17609,5.623585311937653,1.2680543920800647,4.355530919857588,4.055530919857589,64.68851155659038,0.0
pyr_velocity_10_60,35,-0.03887041621532965,sh000905,17609,5.623585311937653,6.246036265837313,-0.6224509538996609,-0.922450953899661,39.905730024419334,2.234610472374414e-11
pyr_velocity_10_60,35,-0.03887041621532965,sz399006,17609,5.623585311937653,3.2893743480604027,2.3342109638772506,2.0342109638772503,56.67556363223352,7.26584424320634e-122
