filter,q,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
ind_buy_rank>=70%,0.7,sh000300,32965,5.440257036225101,1.8895500295794523,3.5507070066456494,3.25070700664565,60.13954193841954,0.0
ind_buy_rank>=70%,0.7,sh000905,32965,5.440257036225101,5.59242598859863,-0.15216895237352815,-0.4521689523735283,41.77157591384802,0.09005607012049362
ind_buy_rank>=70%,0.7,sz399006,32965,5.440257036225101,5.4528208202807225,-0.012563784055620083,-0.3125637840556203,50.590019717882605,0.8982203103389516
ind_buy_rank>=50%,0.5,sh000300,47147,5.238893712550648,1.7174059200433422,3.5214877925073065,3.2214877925073058,60.08865887543215,0.0
ind_buy_rank>=50%,0.5,sh000905,47147,5.238893712550648,5.792181042941318,-0.5532873303906692,-0.8532873303906694,39.84983137845462,1.0078599537428787e-15
ind_buy_rank>=50%,0.5,sz399006,47147,5.238893712550648,5.052018175823563,0.18687553672708615,-0.113124463272914,50.62676310263643,0.013647706807405976
ind_buy_rank>=30%,0.3,sh000300,55824,5.012092735814383,1.6209580491990365,3.3911346866153464,3.091134686615346,59.22721410146173,0.0
ind_buy_rank>=30%,0.3,sh000905,55824,5.012092735814383,5.9193000049662,-0.9072072691518164,-1.2072072691518165,38.252364574376614,1.4121784035621897e-48
ind_buy_rank>=30%,0.3,sz399006,55824,5.012092735814383,4.911423578430145,0.10066915738423744,-0.19933084261576267,49.78324734881055,0.13986357817859563
top7_industry_only,-1.0,sh000300,1609,10.513644375945946,1.7977286238356887,8.715915752110257,8.415915752110255,74.7669359850839,2.136389166402003e-102
top7_industry_only,-1.0,sh000905,1609,10.513644375945946,6.938678121233155,3.5749662547127885,3.2749662547127887,52.8899937849596,7.802067673983783e-23
top7_industry_only,-1.0,sz399006,1609,10.513644375945946,5.693684895022914,4.81995948092303,4.5199594809230295,57.55127408328155,7.831007698286647e-30
top7_ind + pyr_v10_60<p35,-1.0,sh000300,402,12.247962105930798,0.992857205955198,11.255104899975596,10.955104899975597,79.60199004975125,3.0106752848573163e-36
top7_ind + pyr_v10_60<p35,-1.0,sh000905,402,12.247962105930798,7.343187608413418,4.904774497517377,4.604774497517377,56.46766169154229,1.0768509442977247e-10
top7_ind + pyr_v10_60<p35,-1.0,sz399006,402,12.247962105930798,3.2112020025922785,9.036760103338516,8.736760103338517,70.1492537313433,9.738600779236156e-24
