variant,etf,n,stock_r20,etf_r20,alpha,net_alpha,win_pct,p_value
f1_main_in_red,sh000300,56011,4.868819164595014,1.492209539689283,3.376609624905732,3.076609624905732,59.334773526628695,0.0
f1_main_in_red,sh000905,56011,4.868819164595014,5.986225488402034,-1.1174063238070187,-1.4174063238070187,37.60511328131974,6.779969230702422e-74
f1_main_in_red,sz399006,56011,4.868819164595014,4.623266769096093,0.24555239549892172,-0.05444760450107845,49.95804395565157,0.00025931815191628156
f1_neg1,sh000300,39179,5.0998755954685935,1.4437322553439842,3.656143340124609,3.3561433401246092,61.515097373592994,0.0
f1_neg1,sh000905,39179,5.0998755954685935,5.928099165578766,-0.828223570110173,-1.1282235701101733,39.23019985196151,4.1838274889421224e-26
f1_neg1,sz399006,39179,5.0998755954685935,4.539907240005895,0.5599683554626991,0.25996835546269886,51.984481482426816,4.409341304188242e-11
f1_neg5,sh000300,59361,4.79457469590121,1.5270575534384112,3.2675171424627987,2.967517142462798,58.69004902208521,0.0
f1_neg5,sh000905,59361,4.79457469590121,5.959706503469821,-1.1651318075686121,-1.4651318075686117,37.354492006536276,1.632398576206949e-86
f1_neg5,sz399006,59361,4.79457469590121,4.737777546073877,0.056797149827332846,-0.24320285017266738,49.24950725223632,0.3816153977041611
f1_neg8,sh000300,59981,4.785334855024286,1.5334691035976864,3.2518657514266,2.9518657514266,58.55520914956402,0.0
f1_neg8,sh000905,59981,4.785334855024286,5.95008930723502,-1.1647544522107345,-1.4647544522107345,37.34515930044514,1.9237014917472563e-87
f1_neg8,sz399006,59981,4.785334855024286,4.75775191425646,0.027582940767825876,-0.27241705923217435,49.13555959387139,0.6692875046048092
f2_main_out_green,sh000300,52592,4.903554848331283,1.596933039980436,3.306621808350847,3.0066218083508467,59.21813203529054,0.0
f2_main_out_green,sh000905,52592,4.903554848331283,6.046989351702962,-1.1434345033716795,-1.4434345033716798,37.49809857012473,2.0843322027672733e-72
f2_main_out_green,sz399006,52592,4.903554848331283,4.841209021033891,0.06234582729739172,-0.23765417270260852,49.729996957712196,0.37096897269507484
f2_pos1,sh000300,36623,5.251066803693239,1.625753233925532,3.625313569767707,3.3253135697677068,61.084564344810644,0.0
f2_pos1,sh000905,36623,5.251066803693239,6.167686431158448,-0.9166196274652098,-1.21661962746521,38.71064631515714,9.246767017008398e-29
f2_pos1,sz399006,36623,5.251066803693239,4.723253807678446,0.527812996014792,0.22781299601479188,51.66698522786227,2.70297886148373e-09
f2_pos5,sh000300,57907,4.810743271313004,1.5524038109779865,3.258339460335016,2.958339460335017,58.81845027371475,0.0
f2_pos5,sh000905,57907,4.810743271313004,5.974309035783585,-1.1635657644705812,-1.4635657644705815,37.40307734816171,1.5394651694702943e-84
f2_pos5,sz399006,57907,4.810743271313004,4.776416910843747,0.034326360469255135,-0.26567363953074513,49.34118500354016,0.6010043408909893
f2_pos8,sh000300,59526,4.783510030330549,1.5400763896503813,3.2434336406801685,2.9434336406801687,58.57776433827235,0.0
f2_pos8,sh000905,59526,4.783510030330549,5.956881014535563,-1.1733709842050135,-1.4733709842050136,37.32822632127138,1.375121133465319e-88
f2_pos8,sz399006,59526,4.783510030330549,4.766262794331224,0.017247235999325202,-0.2827527640006749,49.134831838188354,0.7896745794788363
